Chr;Contig_name;Contig_length;Contig_start;Contig_end;ctg_start_sum;ctg_end_sum;Chromosome;Strand;Chromosome_9930;Start_9930;End_9930;Strand_9930;Chromosome_Gy14;Start_Gy14;End_Gy14;Strand_Gy14;Chromosome_blast_9930db;Chromosome_blast_gy14db;Chromosome_according_to_DARTseq_analysis;STC_sequence_id;Chromosome_according_to_FISH_analysis
1;ctg3644;53673;1;53673;12355729;12409402;;;Chr1_9930;12358007;12411679;-;Chr5_Gy14;14653011;14706683;-;Chr1;Chr5;;;
1;ctg3737;199849;1;199849;12409403;12609252;;;Chr1_9930;12411780;12611628;-;Chr5_Gy14;14706784;14906632;-;;;;;
1;ctg1745;14088;1;14088;12609253;12623341;;;Chr1_9930;12611729;12625816;+;ctg1745;1;14088;+;;;;;
1;ctg3766;24824;1;24824;12623342;12648166;;;Chr1_9930;12625917;12650740;-;ctg3766;1;24824;+;;;;;
1;ctg50;11809;1;11809;12648167;12659976;;;Chr1_9930;12650841;12662649;-;ctg50;1;11809;+;;;;;
1;ctg3179;19768;1;19768;12659977;12679745;;;Chr1_9930;12662750;12682517;-;ctg3179;1;19768;+;;;;;
1;ctg5406;57200;1;57200;12679746;12736946;;;Chr1_9930;12682618;12739817;-;Chr2_Gy14;17571340;17628539;+;;;;;
1;ctg5654;44732;1;44732;12736947;12781679;;;Chr1_9930;12739918;12784649;-;ctg5654;1;44732;+;;;;;
1;ctg6707;17919;1;17919;12781680;12799599;;;Chr1_9930;12784750;12802668;+;ctg6707;1;17919;+;;;;;
1;ctg3400;32401;1;32401;12799600;12832001;;;Chr1_9930;12802769;12835169;-;ctg3400;1;32401;+;;;;;
1;ctg492;31530;1;31530;12832002;12863532;;;Chr1_9930;12835270;12866799;-;ctg492;1;31530;+;;;;;
1;ctg5828;58808;1;58808;12863533;12922341;;;Chr1_9930;12866900;12925707;-;ctg5828;1;58808;+;;;;;
1;ctg131;33338;1;33338;12922342;12955680;;;Chr1_9930;12925808;12959145;+;ctg131;1;33338;+;;;;;
1;ctg464;26826;1;26826;12955681;12982507;;;Chr1_9930;12959246;12986071;+;ctg464;1;26826;+;;;;;
1;ctg7282;26414;1;26414;12982508;13008922;;;Chr1_9930;12986172;13012585;+;ctg7282;1;26414;+;;;;;
1;ctg5232;24370;1;24370;13008923;13033293;;;Chr1_9930;13012686;13037055;-;ctg5232;1;24370;+;;;;;
1;ctg6948;34290;1;34290;13033294;13067584;;;Chr1_9930;13037156;13071445;-;Chr1_Gy14;12327474;12361763;-;;;;;
1;ctg2401;21150;1;21150;13067585;13088735;;;Chr1_9930;13071546;13092695;+;ctg2401;1;21150;+;;;;;
1;ctg6076;29042;1;29042;13088736;13117778;;;Chr1_9930;13092796;13121837;+;ctg6076;1;29042;+;;;;;
1;ctg3382;132902;1;132902;13117779;13250681;;;Chr1_9930;13121938;13254839;-;Chr5_Gy14;14943533;15076434;-;Chr1;Chr5;;;
1;ctg6048;32894;1;32894;13250682;13283576;;;Chr1_9930;13254940;13287833;+;Chr1_Gy14;13303724;13336617;-;;;;;
1;ctg6140;18741;1;18741;13283577;13302318;;;Chr1_9930;13287934;13306674;-;Chr1_Gy14;13119908;13138648;+;;;;;
1;ctg714;29205;1;29205;13302319;13331524;;;Chr1_9930;13306775;13335979;+;Chr1_Gy14;13356437;13385641;-;;;;;
1;ctg4079;52646;1;52646;13331525;13384171;;;Chr1_9930;13336080;13388725;-;Chr2_Gy14;18526972;18579617;-;;;;;
1;ctg4156;82156;1;82156;13384172;13466328;;;Chr1_9930;13388826;13470981;-;Chr4_Gy14;17029337;17111492;-;;;;;
1;ctg2732;25365;1;25365;13466329;13491694;;;Chr1_9930;13471082;13496446;+;ctg2732;1;25365;+;;;;;
1;ctg3880;34459;1;34459;13491695;13526154;;;Chr1_9930;13496547;13531005;-;ctg3880;1;34459;+;;;;;
1;ctg6306;20601;1;20601;13526155;13546756;;;Chr1_9930;13531106;13551706;-;ctg6306;1;20601;+;;;;;
1;ctg2678;14750;1;14750;13546757;13561507;;;Chr1_9930;13551807;13566556;-;ctg2678;1;14750;+;;;;;
1;ctg3448;150032;1;150032;13561508;13711540;;;Chr1_9930;13566657;13716688;-;Chr4_Gy14;15674754;15824785;-;;;;;
1;ctg4013;48818;1;48818;13711541;13760359;;;Chr1_9930;13716789;13765606;+;ctg4013;1;48818;+;;;;;
1;ctg2926;24892;1;24892;13760360;13785252;;;Chr1_9930;13765707;13790598;+;Chr4_Gy14;17196571;17221462;+;;;;;
1;ctg1534;20248;1;20248;13785253;13805501;;;Chr1_9930;13790699;13810946;+;ctg1534;1;20248;+;;;;;
1;ctg4730;44862;1;44862;13805502;13850364;;;Chr1_9930;13811047;13855908;-;Chr2_Gy14;19122209;19167070;-;;;;;
1;ctg2915;14432;1;14432;13850365;13864797;;;Chr1_9930;13856009;13870440;-;ctg2915;1;14432;+;;;;;
1;ctg2908;22373;1;22373;13864798;13887171;;;Chr1_9930;13870541;13892913;-;ctg2908;1;22373;+;;;;;
1;ctg438;18219;1;18219;13887172;13905391;;;Chr1_9930;13893014;13911232;-;Chr2_Gy14;24878392;24896610;+;;;;;
1;ctg5690;30202;1;30202;13905392;13935594;;;Chr1_9930;13911333;13941534;-;Chr2_Gy14;24848090;24878291;+;;;;;
1;ctg5483;19454;1;19454;13935595;13955049;;;Chr1_9930;13941635;13961088;-;ctg5483;1;19454;+;;;;;
1;ctg1056;16813;1;16813;13955050;13971863;;;Chr1_9930;13961189;13978001;-;Chr2_Gy14;21028602;21045414;-;;;;;
1;ctg1055;238256;1;238256;13971864;14210120;Chr2;+;Chr1_9930;13978102;14216357;-;Chr2_Gy14;21045515;21283770;-;Chr1;Chr2;Chr2;;
1;ctg5681;17667;1;17667;14210121;14227788;;;Chr1_9930;14216458;14234124;+;ctg5681;1;17667;+;;;;;
1;ctg295;16233;1;16233;14227789;14244022;;;Chr1_9930;14234225;14250457;+;ctg295;1;16233;+;;;;;
1;ctg4373;43440;1;43440;14244023;14287463;;;Chr1_9930;14250558;14293997;+;Chr4_Gy14;11605879;11649318;+;;;;;
1;ctg4673;33149;1;33149;14287464;14320613;;;Chr1_9930;14294098;14327246;-;Chr4_Gy14;11649419;11682567;-;;;;;
1;ctg6202;22317;1;22317;14320614;14342931;;;Chr1_9930;14327347;14349663;+;ctg6202;1;22317;+;;;;;
1;ctg4055;16726;1;16726;14342932;14359658;;;Chr1_9930;14349764;14366489;+;ctg4055;1;16726;+;;;;;
1;ctg3352;11216;1;11216;14359659;14370875;;;Chr1_9930;14366590;14377805;+;ctg3352;1;11216;+;;;;;
1;ctg2622;16285;1;16285;14370876;14387161;;;Chr1_9930;14377906;14394190;-;Chr4_Gy14;11682668;11698952;-;;;;;
1;ctg1714;295568;1;295568;14387162;14682730;Chr1;-;Chr1_9930;14394291;14689858;-;Chr1_Gy14;14439974;14735541;-;Chr1;Chr1;Chr1;;
1;ctg5356;27426;1;27426;14682731;14710157;;;Chr1_9930;14689959;14717384;+;Chr1_Gy14;14735642;14763067;+;;;;;
1;ctg2987;29321;1;29321;14710158;14739479;;;Chr1_9930;14717485;14746805;-;Chr2_Gy14;18091188;18120508;+;;;;;
1;ctg29;255221;1;255221;14739480;14994701;;;Chr1_9930;14746906;15002126;-;Chr1_Gy14;14763168;15018388;-;Chr1;Chr1;;;
1;ctg6670;34437;1;34437;14994702;15029139;;;Chr1_9930;15002227;15036663;+;Chr2_Gy14;21577715;21612151;-;;;;;
1;ctg1080;216064;1;216064;15029140;15245204;;;Chr1_9930;15036764;15252827;-;Chr1_Gy14;15018489;15234552;-;Chr1;Chr1;;;
1;ctg1904;10082;1;10082;15245205;15255287;;;Chr1_9930;15252928;15263009;+;ctg1904;1;10082;+;;;;;
1;ctg4015;42161;1;42161;15255288;15297449;;;Chr1_9930;15263110;15305270;+;ctg4015;1;42161;+;;Chr0;;;
1;ctg929;17457;1;17457;15297450;15314907;;;Chr1_9930;15305371;15322827;+;ctg929;1;17457;+;;;;;
1;ctg1057;460024;1;460024;15314908;15774932;Chr1;-;Chr1_9930;15322928;15782951;-;Chr1_Gy14;15553943;16013966;-;Chr1;Chr1;;;
1;ctg991;21431;1;21431;15774933;15796364;;;Chr1_9930;15783052;15804482;+;Chr1_Gy14;16014067;16035497;+;;;;;
1;ctg2393;30295;1;30295;15796365;15826660;;;Chr1_9930;15804583;15834877;+;Chr1_Gy14;16067640;16097934;+;;;;;
1;ctg2394;160961;1;160961;15826661;15987622;;;Chr1_9930;15834978;15995938;+;Chr1_Gy14;16098035;16258995;+;Chr1;Chr1;;;
1;ctg6260;23454;1;23454;15987623;16011077;;;Chr1_9930;15996039;16019492;+;ctg6260;1;23454;+;;;;;
1;ctg2395;119370;1;119370;16011078;16130448;;;Chr1_9930;16019593;16138962;+;ctg2395;1;119370;+;;;;;
1;ctg298;21504;1;21504;16130449;16151953;;;Chr1_9930;16139063;16160566;-;ctg298;1;21504;+;;;;;
1;ctg2396;24810;1;24810;16151954;16176764;;;Chr1_9930;16160667;16185476;+;ctg2396;1;24810;+;;;;;
1;ctg2397;29971;1;29971;16176765;16206736;;;Chr1_9930;16185577;16215547;-;Chr1_Gy14;14409903;14439873;+;;;;;
1;ctg6999;20831;1;20831;16206737;16227568;;;Chr1_9930;16215648;16236478;-;ctg6999;1;20831;+;;;;;
1;ctg2389;35393;1;35393;16227569;16262962;;;Chr1_9930;16236579;16271971;+;Chr1_Gy14;14374410;14409802;-;;;;;
1;ctg4460;26235;1;26235;16262963;16289198;;;Chr1_9930;16272072;16298306;-;Chr5_Gy14;19810736;19836970;+;;;;;
1;ctg6396;15853;1;15853;16289199;16305052;;;Chr1_9930;16298407;16314259;+;ctg6396;1;15853;+;;;;;
1;ctg3781;13779;1;13779;16305053;16318832;;;Chr1_9930;16314360;16328138;-;ctg3781;1;13779;+;;;;;
1;ctg2390;150212;1;150212;16318833;16469045;Chr1;+;Chr1_9930;16328239;16478450;+;Chr1_Gy14;16259096;16409307;+;Chr1;Chr1;;;
1;ctg3354;26519;1;26519;16469046;16495565;;;Chr1_9930;16478551;16505069;-;Chr1_Gy14;16409408;16435926;-;;;;;
1;ctg1808;696855;1;696855;16495566;17192421;Chr1;+;Chr1_9930;16505170;17202024;+;Chr1_Gy14;16436027;17132881;+;Chr1;Chr1;Chr1;;
1;ctg262;11828;1;11828;17192422;17204250;;;Chr1_9930;17202125;17213952;+;Chr1_Gy14;17132982;17144809;+;;;;;
1;ctg1279;14967;1;14967;17204251;17219218;;;Chr1_9930;17214053;17229019;+;ctg1279;1;14967;+;;;;;
1;ctg47;493993;1;493993;17219219;17713212;Chr1;;Chr1_9930;17229120;17723112;-;Chr1_Gy14;17144910;17638902;-;Chr1;Chr1;Chr1;;
1;ctg46;18480;1;18480;17713213;17731693;;;Chr1_9930;17723213;17741692;+;ctg46;1;18480;+;;;;;
1;ctg36;540716;1;540716;17731694;18272410;;;Chr1_9930;17741793;18282508;-;Chr1_Gy14;17639003;18179718;-;Chr1;Chr1;;;
1;ctg999;518902;1;518902;18272411;18791313;Chr1;-;Chr1_9930;18282609;18801510;-;Chr1_Gy14;18209878;18728779;-;Chr1;Chr1;Chr1;;
1;ctg3542;27740;1;27740;18791314;18819054;;;Chr1_9930;18801611;18829350;+;ctg3542;1;27740;+;Chr1;;;;
1;ctg6656;14056;1;14056;18819055;18833111;;;Chr1_9930;18829451;18843506;-;ctg6656;1;14056;+;;;;;
1;ctg3347;382956;1;382956;18833112;19216068;;;Chr1_9930;18843607;19226562;-;Chr1_Gy14;18766073;19149028;-;Chr1;Chr1;Chr1;;
1;ctg2925;24953;1;24953;19216069;19241022;;;Chr1_9930;19226663;19251615;+;ctg2925;1;24953;+;;;;;
1;ctg3450;9207;1;9207;19241023;19250230;;;Chr1_9930;19251716;19260922;-;ctg3450;1;9207;+;;;;;
1;ctg3396;25001;1;25001;19250231;19275232;;;Chr1_9930;19261023;19286023;-;ctg3396;1;25001;+;;;;;
1;ctg3395;17411;1;17411;19275233;19292644;;;Chr1_9930;19286124;19303534;+;ctg3395;1;17411;+;;;;;
1;ctg3392;13547;1;13547;19292645;19306192;;;Chr1_9930;19303635;19317181;+;ctg3392;1;13547;+;Chr1;;;;
1;ctg3390;16010;1;16010;19306193;19322203;;;Chr1_9930;19317282;19333291;-;ctg3390;1;16010;+;Chr1;Chr1;;;
1;ctg3388;23306;1;23306;19322204;19345510;;;Chr1_9930;19333392;19356697;+;ctg3388;1;23306;+;Chr1;Chr1;;;
1;ctg3379;3262526;1;3262526;19345511;22608037;Chr1;-;Chr1_9930;19356798;22619323;-;Chr1_Gy14;19149129;22411654;-;Chr1;Chr1;Chr1;;
1;ctg11;15286;1;15286;22608038;22623324;;;Chr1_9930;22619424;22634709;+;ctg11;1;15286;+;;;;;
1;ctg1427;9004;1;9004;22623325;22632329;;;Chr1_9930;22634810;22643813;-;ctg1427;1;9004;+;;;;;
1;ctg1528;5709527;1;5709527;22632330;28341857;Chr1;o;Chr1_9930;22643914;28353440;-;Chr1_Gy14;22480461;28189987;-;Chr1;Chr1;Chr1;;
1;ctg64;30512;1;30512;28341858;28372370;;;Chr1_9930;28353541;28384052;+;Chr1_Gy14;28190088;28220599;+;;Chr1;;;
1;ctg1523;961486;1;961486;28372371;29333857;Chr1;-;Chr1_9930;28384153;29345638;-;Chr1_Gy14;28220700;29182185;-;Chr1;Chr1;;;
1;ctg1521;17488;1;17488;29333858;29351346;;;Chr1_9930;29345739;29363226;-;Chr1_Gy14;29182286;29199773;-;;;;;
1;ctg3372;23285;1;23285;29351347;29374632;;;Chr1_9930;29363327;29386611;+;Chr1_Gy14;29199874;29223158;+;;;;;
1;ctg949;1100789;1;1100789;29374633;30475422;Chr1;-;Chr1_9930;29386712;30487500;-;Chr1_Gy14;29223259;30324047;-;Chr1;Chr1;Chr1;;
1;ctg945;15526;1;15526;30475423;30490949;;;Chr1_9930;30487601;30503126;-;Chr1_Gy14;30349223;30364748;-;;;;;
1;ctg944;1017222;1;1017222;30490950;31508172;Chr1;-;Chr1_9930;30503227;31520448;-;Chr1_Gy14;30364849;31382070;-;Chr1;Chr1;;;
1;ctg211;362466;1;362466;31508173;31870639;;;Chr1_9930;31520549;31883014;-;Chr1_Gy14;31382171;31744636;-;Chr1;Chr1;;;
1;ctg6837;22389;1;22389;31870640;31893029;;;Chr1_9930;31883115;31905503;+;ctg6837;1;22389;+;;;;;
1;ctg1709;55197;1;55197;31893030;31948227;;;Chr1_9930;31905604;31960800;+;ctg1709;1;55197;+;Chr1;;;;
1;ctg6259;17558;1;17558;31948228;31965786;;;Chr1_9930;31960901;31978458;-;ctg6259;1;17558;+;;;;;
1;ctg3962;24903;1;24903;31965787;31990690;;;Chr1_9930;31978559;32003461;-;ctg3962;1;24903;+;;;;;
1;ctg4050;30824;1;30824;31990691;32021515;;;Chr1_9930;32003562;32034385;-;ctg4050;1;30824;+;;;;;
1;ctg669;26993;1;26993;32021516;32048509;;;Chr1_9930;32034486;32061478;+;ctg669;1;26993;+;;;;;
1;ctg6831;18277;1;18277;32048510;32066787;;;Chr1_9930;32061579;32079855;-;ctg6831;1;18277;+;;;;;
2;ctg1426;11131;1;11131;1;11131;;;Chr2_9930;1;11131;-;ctg1426;1;11131;+;;;;;
2;ctg3656;17870;1;17870;11132;29002;;;Chr2_9930;11232;29101;-;ctg3656;1;17870;+;;;;;
2;ctg1755;16259;1;16259;29003;45262;;;Chr2_9930;29202;45460;+;ctg1755;1;16259;+;;;;;
2;ctg3641;17857;1;17857;45263;63120;;;Chr2_9930;45561;63417;-;ctg3641;1;17857;+;;;;;
2;ctg3666;34193;1;34193;63121;97314;;;Chr2_9930;63518;97710;-;ctg3666;1;34193;+;;;;;
2;ctg3657;20711;1;20711;97315;118026;;;Chr2_9930;97811;118521;+;ctg3657;1;20711;+;;;;;
2;ctg3469;35013;1;35013;118027;153040;;;Chr2_9930;118622;153634;+;ctg3469;1;35013;+;;;;;
2;ctg3996;48111;1;48111;153041;201152;;;Chr2_9930;153735;201845;-;ctg3996;1;48111;+;;;;;
2;ctg1245;20913;1;20913;201153;222066;;;Chr2_9930;201946;222858;+;ctg1245;1;20913;+;;;;;
2;ctg3529;81461;1;81461;222067;303528;;;Chr2_9930;222959;304419;-;Chr4_Gy14;14480392;14561852;+;;;;;
2;ctg4;5194580;1;5194580;303529;5498109;Chr2;+;Chr2_9930;304520;5499099;+;Chr2_Gy14;70457;5265036;+;Chr2;Chr2;Chr2;;
2;ctg1558;2448299;1;2448299;5498110;7946409;Chr2;-;Chr2_9930;5499200;7947498;-;Chr2_Gy14;5265137;7713435;-;Chr2;Chr2;Chr2;;
2;ctg2921;19044;1;19044;7946410;7965454;;;Chr2_9930;7947599;7966642;+;ctg2921;1;19044;+;;;;;
2;ctg3366;18413;1;18413;7965455;7983868;;;Chr2_9930;7966743;7985155;-;Chr2_Gy14;7713536;7731948;-;;;;;
2;ctg31;907677;1;907677;7983869;8891546;Chr2;-;Chr2_9930;7985256;8892932;+;Chr2_Gy14;7732049;8639725;+;Chr2;Chr2;Chr2;;
2;ctg105;4909161;1;4909161;8891547;13800708;Chr2;+;Chr2_9930;8893033;13802193;+;Chr2_Gy14;8639826;13548986;+;Chr2;Chr2;Chr2;STC1_Bam_024_D19_M13;Chr2
2;ctg3136;16401;1;16401;13800709;13817110;;;Chr2_9930;13802294;13818694;+;ctg3136;1;16401;+;;;;;
2;ctg802;21053;1;21053;13817111;13838164;;;Chr2_9930;13818795;13839847;-;ctg802;1;21053;+;;;;;
2;ctg5348;64088;1;64088;13838165;13902253;;;Chr2_9930;13839948;13904035;-;Chr1_Gy14;13239536;13303623;-;;;;;
2;ctg2417;343061;1;343061;13902254;14245315;Chr2;-;Chr2_9930;13904136;14247196;+;Chr2_Gy14;13634238;13977298;+;Chr2;Chr2;;;
2;ctg6658;21732;1;21732;14245316;14267048;;;Chr2_9930;14247297;14269028;-;ctg6658;1;21732;+;;;;;
2;ctg2178;1225895;1;1225895;14267049;15492944;Chr2;+;Chr2_9930;14269129;15495023;+;Chr2_Gy14;14007454;15233348;+;Chr2;Chr2;Chr2;;
2;ctg440;102740;1;102740;15492945;15595685;;;Chr2_9930;15495124;15597863;-;Chr2_Gy14;15233449;15336188;-;Chr2;Chr2;;;
2;ctg6287;19619;1;19619;15595686;15615305;;;Chr2_9930;15597964;15617582;-;Chr1_Gy14;13336718;13356336;+;;;;;
2;ctg794;11489;1;11489;15615306;15626795;;;Chr2_9930;15617683;15629171;+;ctg794;1;11489;+;;;;;
2;ctg273;17935;1;17935;15626796;15644731;;;Chr2_9930;15629272;15647206;+;Chr2_Gy14;15428234;15446168;+;;;;;
2;ctg281;13711;1;13711;15644732;15658443;;;Chr2_9930;15647307;15661017;-;Chr1_Gy14;12950992;12964702;+;;;;;
2;ctg799;11275;1;11275;15658444;15669719;;;Chr2_9930;15661118;15672392;+;Chr2_Gy14;15336289;15347563;+;;;;;
2;ctg4718;55418;1;55418;15669720;15725138;;;Chr2_9930;15672493;15727910;-;Chr1_Gy14;12881690;12937107;+;;;;;
2;ctg2464;20825;1;20825;15725139;15745964;;;Chr2_9930;15728011;15748835;-;ctg2464;1;20825;+;;;;;
2;ctg5231;12627;1;12627;15745965;15758592;;;Chr2_9930;15748936;15761562;-;ctg5231;1;12627;+;;;;;
2;ctg2699;442389;1;442389;15758593;16200982;;;Chr2_9930;15761663;16204051;-;Chr2_Gy14;15465698;15908086;-;Chr2;Chr2;;;
2;ctg6167;21421;1;21421;16200983;16222404;;;Chr2_9930;16204152;16225572;+;Chr2_Gy14;15908187;15929607;+;;;;;
2;ctg4578;26707;1;26707;16222405;16249112;;;Chr2_9930;16225673;16252379;-;ctg4578;1;26707;+;;;;;
2;ctg2692;15684;1;15684;16249113;16264797;;;Chr2_9930;16252480;16268163;-;Chr2_Gy14;16026197;16041880;-;;;;;
2;ctg5082;9797;1;9797;16264798;16274595;;;Chr2_9930;16268264;16278060;+;ctg5082;1;9797;+;scaffold58;;;;
2;ctg191;161595;1;161595;16274596;16436191;;;Chr2_9930;16278161;16439755;-;Chr2_Gy14;16077917;16239511;-;Chr2;Chr2;;;
2;ctg224;17915;1;17915;16436192;16454107;;;Chr2_9930;16439856;16457770;+;Chr4_Gy14;12734641;12752555;-;;;;;
2;ctg4483;14114;1;14114;16454108;16468222;;;Chr2_9930;16457871;16471984;+;ctg4483;1;14114;+;;;;;
2;ctg2267;5860;1;5860;16468223;16474083;;;Chr2_9930;16472085;16477944;-;Chr4_Gy14;12810832;12816691;-;;;;;
2;ctg7084;9465;1;9465;16474084;16483549;;;Chr2_9930;16478045;16487509;+;Chr4_Gy14;12816792;12826256;+;;;;;
2;ctg7805;9957;1;9957;16483550;16493507;;;Chr2_9930;16487610;16497566;-;Chr4_Gy14;12826357;12836313;-;;;;;
2;ctg818;15420;1;15420;16493508;16508928;;;Chr2_9930;16497667;16513086;-;ctg818;1;15420;+;;;;;
2;ctg1839;21999;1;21999;16508929;16530928;;;Chr2_9930;16513187;16535185;-;Chr4_Gy14;12853376;12875374;-;;;;;
2;ctg5460;14684;1;14684;16530929;16545613;;;Chr2_9930;16535286;16549969;-;Chr4_Gy14;12875475;12890158;-;;;;;
2;ctg3942;53713;1;53713;16545614;16599327;;;Chr2_9930;16550070;16603782;+;Chr2_Gy14;19541279;19594991;-;;;;;
2;ctg3898;19805;1;19805;16599328;16619133;;;Chr2_9930;16603883;16623687;+;Chr2_Gy14;23312095;23331899;+;;;;;
2;ctg2485;20216;1;20216;16619134;16639350;;;Chr2_9930;16623788;16644003;-;ctg2485;1;20216;+;;;;;
2;ctg8012;12022;1;12022;16639351;16651373;;;Chr2_9930;16644104;16656125;+;ctg8012;1;12022;+;;;;;
2;ctg2472;13397;1;13397;16651374;16664771;;;Chr2_9930;16656226;16669622;-;ctg2472;1;13397;+;;;;;
2;ctg4445;16287;1;16287;16664772;16681059;;;Chr2_9930;16669723;16686009;-;ctg4445;1;16287;+;;;;;
2;ctg1711;102661;1;102661;16681060;16783721;;;Chr2_9930;16686110;16788770;-;Chr4_Gy14;12890259;12992919;-;Chr2;;;;
2;ctg3565;49255;1;49255;16783722;16832977;;;Chr2_9930;16788871;16838125;+;Chr4_Gy14;12993020;13042274;+;Chr2;;;;
2;ctg1843;15864;1;15864;16832978;16848842;;;Chr2_9930;16838226;16854089;+;Chr5_Gy14;15487609;15503472;-;;;;;
2;ctg4759;17799;1;17799;16848843;16866642;;;Chr2_9930;16854190;16871988;-;Chr5_Gy14;15469710;15487508;+;;;;;
2;ctg4366;34959;1;34959;16866643;16901602;;;Chr2_9930;16872089;16907047;-;Chr5_Gy14;15434651;15469609;+;;;;;
2;ctg288;18940;1;18940;16901603;16920543;;;Chr2_9930;16907148;16926087;-;ctg288;1;18940;+;;;;;
2;ctg4077;17761;1;17761;16920544;16938305;;;Chr2_9930;16926188;16943948;+;ctg4077;1;17761;+;;;;;
2;ctg4165;18531;1;18531;16938306;16956837;;;Chr2_9930;16944049;16962579;+;ctg4165;1;18531;+;;;;;
2;ctg126;14907;1;14907;16956838;16971745;;;Chr2_9930;16962680;16977586;-;ctg126;1;14907;+;;;;;
2;ctg4590;37319;1;37319;16971746;17009065;;;Chr2_9930;16977687;17015005;-;Chr5_Gy14;15348065;15385383;+;;;;;
2;ctg2415;27456;1;27456;17009066;17036522;;;Chr2_9930;17015106;17042561;+;ctg2415;1;27456;+;;;;;
2;ctg3794;48947;1;48947;17036523;17085470;;;Chr2_9930;17042662;17091608;-;ctg3794;1;48947;+;;;;;
2;ctg2404;25219;1;25219;17085471;17110690;;;Chr2_9930;17091709;17116927;-;ctg2404;1;25219;+;;;;;
2;ctg3060;21232;1;21232;17110691;17131923;;;Chr2_9930;17117028;17138259;-;ctg3060;1;21232;+;;;;;
2;ctg566;24914;1;24914;17131924;17156838;;;Chr2_9930;17138360;17163273;+;ctg566;1;24914;+;;;;;
2;ctg2938;7796;1;7796;17156839;17164635;;;Chr2_9930;17163374;17171169;-;ctg2938;1;7796;+;;;;;
2;ctg2025;6458;1;6458;17164636;17171094;;;Chr2_9930;17171270;17177727;-;ctg2025;1;6458;+;;;;;
